CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"8022","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","FORBES 2070C","Mecham, Nathan","7","Open","17","24","","","","","",
"8012","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","1000-1050","FORBES 2070C","Mecham, Nathan","0","Closed","30","30","","","","","",
"8014","ACCT 201","2","Principles of Accounting I","3","","Lec","TR","0800-0915","FORBES 2070A","Scott, Mary","-2","Closed","32","30","","","","","",
"8015","ACCT 201","3","Principles of Accounting I","3","","Lec","TR","1100-1215","FORBES 2070A","Scott, Mary","-5","Closed","35","30","","","","","",
"8016","ACCT 201","4","Principles of Accounting I","3","","Lec","TR","1330-1445","FORBES 2070A","Scott, Mary","-3","Closed","33","30","","","","","",
"8018","ACCT 201","5","Principles of Accounting I","3","","Lec","MWF","0900-0950","SERC 2296","Walker, George","0","Closed","30","30","","","","","",
"8020","ACCT 201","6","Principles of Accounting I","3","","Lec","MWF","1300-1350","SERC 2296","Walker, George","-2","Closed","32","30","","","","","",
"8021","ACCT 201","7","Principles of Accounting I","3","","Lec","MWF","1400-1450","SERC 2296","Walker, George","-1","Closed","31","30","","","","","",
"8002","ACCT 202","1","Principles of Accounting II","3","","Lec","TR","1330-1445","LUTR 105","Blake, Conner","-3","Closed","33","30","","","","","",
"8017","ACCT 202","2","Principles of Accounting II","3","","Lec","TR","1500-1615","FORBES 2070A","Scott, Mary","-4","Closed","24","20","","","","","",
"8011","ACCT 301","1","Intermediate Accounting I","3","","Lec","MWF","0900-0950","FORBES 2070C","Mecham, Nathan","-3","Closed","23","20","","","","","",
"8013","ACCT 301","2","Intermediate Accounting I","3","","Lec","MWF","1200-1250","FORBES 2070E","Mecham, Nathan","-3","Closed","33","30","","","","","",
"8001","ACCT 370","1","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1100-1215","LUTR 109","Blake, Conner","-2","Closed","30","28","","","","","",
