CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"8019","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 137","Williams, LaMonte","5","Open","25","30","","","","","",
"8013","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","1000-1050","LUTR 109","Walker, George","4","Open","26","30","","","","","",
"8014","ACCT 201","2","Principles of Accounting I","3","","Lec","MWF","1300-1350","LUTR 121","Walker, George","0","Closed","30","30","","","","","",
"8015","ACCT 201","3","Principles of Accounting I","3","","Lec","MWF","1400-1450","FORBES 3012","Mecham, Nathan","-1","Closed","31","30","","","","","",
"8001","ACCT 202","1","Principles of Accounting II","3","","Lec","MWF","1000-1050","LUTR 347","Blake, Conner","1","Open","29","30","","","","","",
"8002","ACCT 202","2","Principles of Accounting II","3","","Lec","MWF","1200-1250","LUTR 269","Blake, Conner","3","Open","27","30","","","","","",
"8007","ACCT 202","3","Principles of Accounting II","3","","Lec","MWF","1400-1450","LUTR 109","Walker, George","3","Open","27","30","","","","","",
"8009","ACCT 202","4","Principles of Accounting II","3","","Lec","TR","1100-1215","FORBES 2015","Scott, Mary","-1","Closed","31","30","","","","","",
"8010","ACCT 202","5","Principles of Accounting II","3","","Lec","TR","1330-1445","FORBES 2015","Scott, Mary","-2","Closed","32","30","","","","","",
"8016","ACCT 202","6","Principles of Accounting II","3","","Lec","MWF","0900-0950","LUTR 242","Walker, George","6","Open","24","30","","","","","",
"8004","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","0900-0950","LUTR 142","Kugel, Jonathan","5","Open","20","25","","","","","",
"8005","ACCT 302","2","Intermediate Accounting II","3","","Lec","MWF","1100-1150","LUTR 142","Kugel, Jonathan","1","Open","29","30","","","","","",
"8003","ACCT 307","1","WI: Intermed Managerl Acct/Dat","3","  WI","Lec","MWF","0900-0950","LUTR 109","Blake, Conner","1","Open","24","25","","","","","Yes",
"8008","ACCT 307","2","WI: Intermed Managerl Acct/Dat","3","  WI","Lec","MWF","1300-1350","FORBES 3014","Mecham, Nathan","-7","Closed","32","25","","","","","Yes",
"9088","ACCT 395","1","SPC TP: Adv Managerial Accting","3","","Lec","MWF","1100-1150","LUTR 109","Mecham, Nathan","7","Open","18","25","","","","","",
"8011","ACCT 401","1","Introduction to Taxation","3","","Lec","TR","0930-1045","FORBES 2014","Scott, Mary","-5","Closed","30","25","","","","","",
"8017","ACCT 401","2","Introduction to Taxation","3","","Lec","MWF","1100-1150","MCM 312","Hatchett, Philip","9","Open","16","25","","","","","",
"8012","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Scott, Mary","-2","Closed","27","25","","","","","",
"8018","ACCT 408","1","Entity Compliance &amp; Planning","3","","Lec","MWF","1000-1050","MCM 300B","Hatchett, Philip","3","Open","12","15","","","","","",
"8006","ACCT 552","1","Financial Reg &amp; Prof Responsib","3","","Lec","MW","1600-1715","MCM 200D","Kugel, Jonathan","6","Open","3","9","","","","","Yes",
"8020","AMST 100","1","The American Experiment","3","  AIDE","Lec","MWF","1200-1250","MCM 216","Garmon, Frank","1","Open","25","26","","","","","",
"8022","AMST 100","3","The American Experiment","3","  AIDE","Lec","MW","1600-1715","MCM 162","Morrison, Jeffry","0","Closed","26","26","","","","","",
"8023","AMST 100","4","The American Experiment","3","  AIDE","Lec","MW","1800-1915","MCM 162","Morrison, Jeffry","1","Open","25","26","","","","","",
"8024","AMST 100","5","The American Experiment","3","  AIDE","Lec","TR","0930-1045","LUTR 242","Williams, Anthony","-1","Closed","27","26","","","","","",
"8025","AMST 100","6","The American Experiment","3","  AIDE","Lec","TR","1800-1915","MCM 160","Alexander, Jacob","2","Open","24","26","","","","","",
"9155","AMST 100","7","The American Experiment","3","  AIDE","Lec","MWF","1000-1050","MCM 162","Garmon, Frank","0","Closed","26","26","","","","","",
"8026","AMST 120","1","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1630-1745","LUTR 269","Mims, William","1","Open","25","26","","","","","Yes",
"8027","AMST 200","1","American Experiemnt: Evolution","3","  AIWT","Lec","MWF","1000-1050","MCM 260","Kaufer Busch, Elizabeth","7","Open","23","30","","","","","",
"8029","AMST 220","1","Music &amp; American Civic Culture","3","  AICE","Lec","TR","1330-1445","LUTR 142","Morrison, Jeffry","-2","Closed","28","26","","","","","",
"8030","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","TR","1630-1745","MCM 257","McCarthy, William","-3","Closed","22","19","","","","","Yes",
"8032","AMST 330","1","Treason in America","3","","Lec","TR","1330-1445","MCM 101","White, Jonathan","30","Open","69","99","","","","","Yes",
"8033","AMST 345","1","American Epidemics &amp; Constitut","3","","Lec","TR","1500-1615","FERG 221","Mims, William","-1","Closed","11","10","","","","","Yes",
"9156","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","0930-1045","MCM 200D","Garmon, Frank","-2","Closed","14","12","","","","","",
"9378","AMST 499","1","IND ST: American Proposition","3","","Ind","","","ARR ","Kaufer Busch, Elizabeth","-1","Closed","1","0","","","","","",
"9391","AMST 499","2","IND ST: Alexander Hamilton","3","","Ind","","","ARR ","Garmon, Frank","-1","Closed","1","0","","","","","",
"8034","ANTH 200","1","Human Adaptation","3","  AINW","Lec","MWF","1100-1150","LUTR 170","Loy, Christopher","4","Open","31","35","","","","","",
