CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"2060","ACCT 201","ON1","Principles of Accounting I","3","","Lec","","","ASY ","Scott, Mary","-2","Closed","17","15","","","","","",
"2075","AMST 490","ON1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","","","ASY ","Garmon, Frank","-1","Closed","1","0","","","","","",
"2001","ANTH 200","ON1","Human Adaptation","3","  AINW","Lec","","","ASY ","Timmer, Andria","1","Open","11","12","","","","","",
"2002","ANTH 203","ON1","Cultural Anthropology","3","  AIGM","Lec","","","ASY ","Palmer, Seth","0","Closed","12","12","","","","","",
"2010","BIOL 107","1","General Biology I","3","  AINW","Lec","MTWRF","0900-1215","FORBES 2015","Haymond, Shauna","33","Open","15","48","","","","","",
"2011","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","MTWRF","1300-1450","FORBES 1027","Haymond, Shauna","9","Open","15","24","","","","","",
"2009","BIOL 113","ON1","Topics in Medicine and Health","3","  AINW","Lec","","","ASY ","Webb, Lisa","32","Open","16","48","","","","","",
"2004","BIOL 271","1","Medical Terminology","3","","Lec","MTWRF","0900-1215","FORBES 2070D","Grau, Harold","40","Open","8","48","","","","","",
"2005","BIOL 319","ON1","Nutrition &amp; Energy Homeostasis","3","","Lec","","","ASY ","Knight, William","41","Open","7","48","","","","","",
"2006","BIOL 391","ON1","WI: Junior Seminar","1","  WI","Lec","MTWRF","0900-0950","SYN ","Salazar, Anna","3","Open","4","7","","","","","",
"2080","BIOL 491","ON2","WI: Senior Seminar","1","  WI","Ind","MTWRF","0900-0950","SYN ","Salazar, Anna","0","Closed","1","1","","","","","",
"2068","BUSN 101","ON1","Introduction to Business","3","","Lec","","","ASY ","Donaldson, William","7","Open","8","15","","","","","",
"2062","BUSN 311","ON1","Marketing Management","3","","Lec","","","ASY ","Kim, Dae-Hee","-8","Closed","28","20","","","","","",
"2012","CHEM 103","ON1","Introductory Chemistry I","3","  AINW","Lec","MTWRF","1300-1615","SYN ","Webb, Lisa","45","Open","3","48","","","","","",
"2014","CLST 212","ON1","Roman Culture","3","  AIWT","Lec","","","ASY ","Pollio, David; Padilla, Mark","1","Open","23","24","","","","","Yes",
"2063","COMM 239","ON1","Argumentation","3","  LLFR","Lec","","","ASY ","Sery, Joseph","5","Open","10","15","","","","","Yes",
"2074","COMM 311","ON1","Family Communication","3","","Lec","","","ASY ","Manning, Linda","2","Open","14","16","","","","","",
"2015","COMM 357","ON1","Tpcs in Media, Comm &amp; Pop Cult","3","","Lec","","","ASY ","Meyer, Michaela","1","Open","11","12","","","","","",
"2072","COMM 499","1","IND ST: Relatnshps in Media","3","","Ind","","","ARR ","Lane, Brianna","-1","Closed","1","0","","","","","",
"2017","CPSC 110","ON1","Introduction to Computing","3","  LLFR","Lec","","","ASY ","Davis, Kimberly","4","Open","11","15","","","","","",
"2020","CPSC 215","ON1","Software Pkgs-Busn Applcations","3","","Lec","","","ASY ","Davis, Kimberly","-2","Closed","17","15","","","","","",
"2021","CRIM 335","ON1","Race, Inequality, and Crime","3","","Lec","","","ASY ","Askew, LaQuana","0","Closed","10","10","","","","","",
"2022","ECON 200","ON1","The Economic Way of Thinking","3","  LLFE","Lec","","","ASY ","Chakraborti, Rik","6","Open","20","26","","","","","",
"2023","ECON 201","ON1","Principles of Macroeconomics","3","  LLFE","Lec","","","ASY ","Pradhan, Gyanendra","3","Open","23","26","","","","","",
"2024","ECON 202","ON1","Principles of Microeconomics","3","  LLFE","Lec","","","ASY ","King, Sarah","3","Open","27","30","","","","","",
"2025","ENGL 123","ON1","First-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Rose, Andrew","18","Open","4","22","","","","","Yes",
"2026","ENGL 123","ON2","First-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Emmelhainz, Nicole","12","Open","10","22","","","","","Yes",
"2027","ENGL 223","ON1","Second-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Stewart, Nathan","0","Closed","22","22","","","","","Yes",
"2028","ENGL 223","ON2","Second-Year Writing Seminar","3","  LLFW","Lec","MTWRF","0900-1215","SYN ","Bunch, Imogene","5","Open","17","22","","","","","Yes",
"2030","ENGL 353","ON1","WI: Writing for the Profession","3","  WI","Lec","","","ASY ","Cobos, April","0","Closed","22","22","","","","","Yes",
"2032","FNAR 121","1","Drawing I","3","  AICE","Stu","MTWRF","1300-1615","TFAC 318","Harris, Christi","12","Open","4","16","","","","","",
"2033","FNAR 128","1","Introduction to Digital Media","3","  AICE","Stu","MTWRF","0900-1215","TFAC 228","Skees, Alan","13","Open","3","16","","","","","Yes",
"2034","FNAR 205","ON1","Digital Photography","3","  AICE","Stu","MTWRF","0900-1215","HYB ","Skees, Kristin","10","Open","6","16","","","","","Yes",
"2079","FNAR 491","1","PRT: Commercial Photography","1 - 6","","Pra","","","ARR ","Skees, Kristin","-1","Closed","1","0","","","","","",
"2035","HIST 122","ON1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","","","ASY ","Allison, James","4","Open","11","15","","","","","",
"2036","IDST 210","ON1","Childhood Study: Hist, Lit, Ed","3","","Lec","","","ASY ","Shortsleeve, Kevin","10","Open","12","22","","","","","",
"2069","LDSP 350","ON1","Leadership in Sport","3","","Lec","","","ASY ","Shollen, S.","1","Open","11","12","","","","","",
