CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"3048","ANTH 200","ON1","Human Adaptation","3","  AINW","Lec","","","ASY ","Fitzsimons, Chandler","0","Closed","12","12","","","","","Yes",
"3046","BIOL 107","ON1","General Biology I","3","  AINW","Lec","","","ASY ","Haymond, Shauna","1","Open","28","29","","","","","",
"3011","BIOL 115","ON1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","","","ASY ","Harwell, Heather","18","Open","11","29","","","","","",
"3014","BIOL 313","ON1","Genetics","3","","Lec","","","ASY ","Knight, William","27","Open","12","39","","","","","",
"3015","BIOL 491","ON1","WI: Senior Seminar","1","  WI","Lec","MTWRF","0800-0850","SYN ","Webb, Lisa","3","Open","4","7","","","","","Yes",
"3017","CHEM 121","ON1","General Chemistry I","3","  AINW","Lec","","","ASY ","Higgs, Andrew","21","Open","27","48","","","","","",
"3018","CHEM 121L","1","General Chemistry Lab I","1","  AINW","Lab","MTWRF","0800-1150","FORBES 3002","Shima, Sumie","22","Open","2","24","","","","","",
"3019","CHEM 122","ON1","General Chemistry II","3","  AINW","Lec","","","ASY ","Higgs, Andrew","17","Open","31","48","","","","","",
"3020","CHEM 122L","1","General Chemistry Lab II","1","  AINW","Lab","MTWRF","1230-1620","FORBES 3002","Shima, Sumie","20","Open","4","24","","","","","",
"3021","CHEM 221","ON1","Organic Chemistry I","3","","Lec","","","ASY ","Liskin, Dmitry","19","Open","20","39","","","","","Yes",
"3001","COLL 277","1","Internship: Course for Career","1 - 3","","Pra","","","ARR ","Staton, Logan","-4","Closed","4","0","","","","","Yes",
"3045","COMM 232","ON1","Comm Through Digital Media","3","  AICE","Lec","","","ASY ","Stern, Danielle","-1","Closed","13","12","","","","","",
"3044","COMM 303","ON1","Rhetorical Theory","3","","Lec","MTWRF","0900-1130","SYN ","Steiner, Mark","8","Open","4","12","","","","","",
