CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"4015","ACCT 302","ON1","Intermediate Accounting II","3","","Lec","MTWR","1000-1230","SYN ","Kugel, Jonathan","13","Open","6","19","","","","","",
"4021","AMST 595","ON1","SPC TP:Creation American Repub","3","","Lec","","","ASY ","Garmon, Frank","3","Open","12","15","","","","","",
"4022","AMST 595","ON2","SPC TP:Encounters w/Consititut","3","","Lec","","","ASY ","Morrison, Jeffry","2","Open","13","15","","","","","",
"4001","BIOL 108","ON1","General Biology II","3","  AINW","Lec","","","ASY ","Haymond, Shauna","0","Closed","29","29","","","","","",
"4028","BIOL 499","1","IND ST: Ghost Forest Developme","2","","Ind","","","ARR ","Atkinson, Robert","-1","Closed","1","0","","","","","",
"4016","BUSN 395","ON1","SPC TP: Bus of FIFA World Cup","3","","Lec","","","ASY ","Perry, George","9","Open","15","24","","","","","",
"4012","BUSN 448","ON1","Enterprise Management","3","","Lec","","","ASY ","Perry, George","12","Open","9","21","","","","","",
"4002","CHEM 222","ON1","Organic Chemistry II","3","","Lec","","","ASY ","Liskin, Dmitry","3","Open","21","24","","","","","",
"4020","COLL 195","1","SPC TP: Intro  University Life","2","","Lec","MTWRF; MTWRF","0900-1100; 1430-1600","TRIB 208; TRIB 208","Johnston, Katie; Harrelson, Madison","-22","Closed","22","0","","","","","",
"4026","CRIM 390","1","WI: Criminological Theory","3","  WI","Lec","","","ARR ","Briddell, Laine","-1","Closed","1","0","","","","","",
"4017","ENVS 595","ON1","SPC TP: Computational Methods","3","","Lec","","","ASY ","Mavengere, William","8","Open","7","15","","","","","",
"4003","ENVS 699","1","Thesis Research","1 - 6","","Ind","","","ARR ","Lattanzio, Matthew","15","Open","0","15","","","","","",
"4027","IDST 490","1","IDST Capstone Project","3","","Lec","","","ARR ","Loy, Christopher","-1","Closed","1","0","","","","","",
"4014","LDSP 360","ON1","Promises &amp; Perils of Ambition","3","","Lec","","","ASY ","Cusher, Brent","-1","Closed","11","10","","","","","",
"4013","LDSP 370","ON1","Leading in Healthcare Industry","3","","Lec","","","ASY ","Camaioni, Molly","0","Closed","10","10","","","","","",
"4004","PCSE 699","1","Thesis Research","1 - 9","","Ind","","","ARR ","Monaghan, Peter","16","Open","9","25","","","","","",
"4005","PHYS 152","1","College Physics II","3","  AINW","Lec","MTWR","0930-1200","LUTR 242","Gore, David","11","Open","4","15","","","","","",
"4006","PHYS 152L","1","College Physics II Laboratory","1","  AINW","Lab","MTW","1300-1545","LUTR 306","Gore, David","12","Open","3","15","","","","","",
"4011","PSYC 295","ON1","SPC TP: Psyc of Serial Killers","3","","Lec","MTWR","1045-1230","SYN ","Dow, Gayle","1","Open","15","16","","","","","",
"4024","PSYC 499","1","IND ST: Free Recall Study","3","","Ind","","","ARR ","Rollins, Leslie","-1","Closed","1","0","","","","","",
"4007","TCHG 517","1","Curriculum and Instruction II","1","","Lec","TR","1600-1750","MCM 160","Connell, Cynthia","4","Open","8","12","","","","","",
"4008","TCHG 517","2","Curriculum and Instruction II","1","","Lec","TR","1330-1520","MCM 207","Ward, Karyn","1","Open","12","13","","","","","",
"4009","TCHG 543","1","Classroom Mgmt and Discipline","2","","Lec","TWR","1030-1245","MCM 162","Powell, Linda","1","Open","12","13","","","","","",
"4010","TCHG 543","2","Classroom Mgmt and Discipline","2","","Lec","MTW","1200-1415","MCM 200B","Filetti, Jean","4","Open","8","12","","","","","",
