CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"3046","ACCT 202","ON1","Principles of Accounting II","3","","Lec","","","ASY ","Scott, Mary","-5","Closed","20","15","","","","","",
"3005","BIOL 107","ON1","General Biology I","3","  AINW","Lec","","","ASY ","Haymond, Shauna","-6","Closed","35","29","","","","","",
"3004","BIOL 115","ON1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","","","ASY ","Harwell, Heather","4","Open","25","29","","","","","Yes",
"3002","BIOL 313","ON1","Genetics","3","","Lec","","","ASY ","Knight, William","38","Open","10","48","","","","","",
"3048","BUSN 303","ON1","Fundamentals of Business","3","","Lec","","","ASY ","Schwartz, Shoshana","-2","Closed","17","15","","","","","",
"3050","BUSN 323","ON1","Corporate Finance","3","","Lec","","","ASY ","Donaldson, William","-2","Closed","17","15","","","","","",
"3006","CHEM 104","ON1","Introductory Chemistry II","3","  AINW","Lec","MTWRF","1330-1600","SYN ","Webb, Lisa","44","Open","4","48","","","","","",
"3007","CHEM 121","ON1","General Chemistry I","3","  AINW","Lec","","","ASY ","Higgs, Andrew","-2","Closed","50","48","","","","","",
"3008","CHEM 121L","1","General Chemistry Lab I","1","  AINW","Lab","MTWRF","0800-1150","FORBES 3002","Shima, Sumie","15","Open","9","24","","","","","",
"3011","CHEM 221","ON1","Organic Chemistry I","3","","Lec","","","ASY ","Liskin, Dmitry","16","Open","32","48","","","","","",
"3009","CHEM 242","ON1","General Chemistry II","3","  AINW","Lec","","","ASY ","Higgs, Andrew","13","Open","35","48","","","","","",
"3010","CHEM 242L","1","General Chemistry II Lab","1","  AINW","Lab","MTWRF","1230-1620","FORBES 3009","Shima, Sumie","21","Open","3","24","","","","","",
"3012","COLL 277","1","Internship: Course for Career","1 - 3","","Pra","","","ARR ","Hobgood, Sarah; Staton, Logan","-4","Closed","4","0","","","","","",
"3013","COMM 321","ON1","WI: Communication and Film","3","  WI","Lec","","","ASY ","Sarkissian, Raffi","0","Closed","12","12","","","","","",
"3014","COMM 366","ON1","Interpersonal Conflict","3","","Lec","","","ASY ","Roach&#233;, David","2","Open","10","12","","","","","",
"3015","CPSC 250","1","Progrmng for Data Manipulation","3","","Lec","MTWRF","0900-1130","LUTR 323","Brash, Edward","7","Open","8","15","","","","","",
"3016","CPSC 250L","ON1","Prog for Data Manipulation Lab","1","","Lab","","","ASY ","Brash, Edward","7","Open","8","15","","","","","",
"3018","ECON 200","ON1","The Economic Way of Thinking","3","  LLFE","Lec","","","ASY ","King, Sarah","0","Closed","26","26","","","","","",
"3017","ECON 201","ON1","Principles of Macroeconomics","3","  LLFE","Lec","","","ASY ","Taylor, Travis","1","Open","25","26","","","","","",
"3019","ENGL 123","ON1","First-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Carney, Jason","3","Open","19","22","","","","","Yes",
"3020","ENGL 501","1","Teaching Literature","3","","Lec","MTWRF","1200-1430","MCM 200B","Filetti, Jean","1","Open","4","5","","","","","Yes",
"3022","ENVS 520","ON1","Community Ecology","3","","Lec","","","ASY ","Lattanzio, Matthew","9","Open","6","15","","","","","",
"3021","ENVS 699","1","Thesis Research","1 - 6","","Ind","","","ARR ","Lattanzio, Matthew","11","Open","4","15","","","","","Yes",
"3024","GEOG 210","ON1","Intro to Human Geography","3","","Lec","","","ASY ","Chapman, Thomas","1","Open","11","12","","","","","Yes",
"3025","GEOG 570","1","World Geography for Teachers","3","","Lec","MWRF","1800-2030","FORBES 2088","Hall, Marian","5","Open","7","12","","","","","",
"3055","HEAL 295","ON1","SPC TP: Intro to Global Health","3","","Lec","","","ASY ","Camaioni, Molly","2","Open","17","19","","","","","",
"3026","HIST 491","ON1","Practicum","3","","Int","","","ASY ","Shuck-Hall, Sheri","1","Open","9","10","","","","","",
"3056","LDSP 320","ON1","Leadership Through the Ages","3","","Lec","","","ASY ","Lapke, Shalyn","0","Closed","15","15","","","","","",
"3028","MATH 120","ON1","The Saga of Mathematics","3","  LLFM","Lec","","","ASY ","Lenhart, Sara","-8","Closed","33","25","","","","","Yes",
"3027","MATH 125","ON1","Elementary Statistics","3","  LLFM","Lec","","","ASY ","Carpenter, Ryan","-1","Closed","26","25","","","","","Yes",
"3058","MATH 125","ON2","Elementary Statistics","3","  LLFM","Lec","","","ASY ","Carpenter, Ryan","-2","Closed","27","25","","","","","",
"3029","NSCI 570","1","Teaching STEM","3","","Lab","MTWRF","0900-1130","FORBES 2014","Webb, Lisa","15","Open","3","18","","","","","",
