CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"8402","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 170","Williams, LaMonte","9","Open","16","25","","","","","",
"8391","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","1000-1050","FORBES 3012","Mecham, Nathan","-5","Closed","35","30","","","","","",
"8394","ACCT 201","2","Principles of Accounting I","3","","Lec","TR","1100-1215","LUTR 170","Scott, Mary","-5","Closed","35","30","","","","","",
"8395","ACCT 201","3","Principles of Accounting I","3","","Lec","TR","1330-1445","LUTR 170","Scott, Mary","-5","Closed","35","30","","","","","",
"8396","ACCT 201","4","Principles of Accounting I","3","","Lec","TR","1500-1615","LUTR 170","Scott, Mary","-7","Closed","37","30","","","","","",
"8398","ACCT 201","5","Principles of Accounting I","3","","Lec","MWF","0900-0950","LUTR 105","Walker, George","0","Closed","30","30","","","","","",
"8399","ACCT 201","6","Principles of Accounting I","3","","Lec","MWF","1300-1350","LUTR 170","Walker, George","-5","Closed","35","30","","","","","",
"8383","ACCT 202","1","Principles of Accounting II","3","","Lec","TR","1330-1445","LUTR 372","Blake, Conner","0","Closed","25","25","","","","","",
"9223","ACCT 202","2","Principles of Accounting II","3","","Lec","MWF; MWF","1400-1450; 1400-1450","LUTR 105; LUTR 242","Walker, George","11","Open","14","25","","","","","",
"8392","ACCT 301","1","Intermediate Accounting I","3","","Lec","MWF","0900-0950","FORBES 3012","Mecham, Nathan","9","Open","21","30","","","","","",
"8393","ACCT 301","2","Intermediate Accounting I","3","","Lec","MWF","1200-1250","LUTR 264","Mecham, Nathan","-7","Closed","32","25","","","","","",
"8384","ACCT 370","1","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1100-1215","LUTR 123","Blake, Conner","-1","Closed","36","35","","","","","",
"8385","ACCT 370","2","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1500-1615","LUTR 157","Blake, Conner","15","Open","20","35","","","","","",
"8388","ACCT 405","1","Principles of Auditing","3","","Lec","MWF","1300-1350","FERG 208","Kugel, Jonathan","4","Open","21","25","","","","","",
"8401","ACCT 405","2","Principles of Auditing","3","","Lec","MWF","1000-1050","LUTR 123","Walker, George","-3","Closed","33","30","","","","","",
"8397","ACCT 407","1","Individl Compliance &amp; Planning","3","","Lec","TR","0930-1045","LUTR 242","Scott, Mary","-5","Closed","30","25","","","","","",
"8389","ACCT 451","1","Govt &amp; Not for Profit Accnting","3","","Lec","MWF","1000-1050","MCM 200C","Kugel, Jonathan","0","Closed","10","10","","","","","",
"8387","ACCT 500","1","Adv Finc Statement Analysis","3","","Lec","TR","1630-1745","LUTR 170","Donaldson, William","11","Open","9","20","","","","","",
"8403","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","MW","1730-1845","FORBES 2014","Hatchett, Philip","15","Open","5","20","","","","","",
