CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"4018","AMST 491","ON1","Practicum in American Studies","1 - 3","","Int","","","ASY ","Kaufer Busch, Elizabeth","-1","Closed","1","0","","","","","",
"4001","BIOL 108","ON1","General Biology II","3","  AINW","Lec","","","ASY ","Haymond, Shauna","-6","Closed","35","29","","","","","",
"4012","BUSN 448","ON1","Enterprise Management","3","","Lec","","","ASY ","Perry, George","8","Open","7","15","","","","","",
"4013","CHEM 222","ON1","Organic Chemistry II","3","","Lec","","","ASY ","Liskin, Dmitry","-8","Closed","32","24","","","","","",
"4023","CRIM 491","1","Internship in Criminology","3","","Int","","","ARR ","Briddell, Laine","-3","Closed","3","0","","","","","",
"4019","CYBR 495","ON1","SPC TP: Fundmntals Cybr Certif","3","","Lec","MTWR","1230-1515","SYN ","Kreider, Christopher","12","Open","8","20","","","","","",
"4020","CYBR 595","ON1","SPC TP: Fundmntals Cybr Certif","3","","Lec","MTWR","1230-1515","SYN ","Kreider, Christopher","18","Open","2","20","","","","","",
"4025","ENVS 599","1","IND ST: Harbor Seals  Mid Atla","2","","Ind","","","ARR ","Sherwin, Richard","-1","Closed","1","0","","","","","",
"4022","FNAR 491","1","PRT:Photogphy Assistant Intern","3","","Pra","","","ARR ","Skees, Kristin","-1","Closed","1","0","","","","","",
"4021","IDST 490","1","Environmental Studies Capstone","3","","Ind","","","ARR ","Loy, Christopher","-1","Closed","1","0","","","","","",
"4014","LDSP 320","ON1","Leadership Through the Ages","3","","Lec","","","ASY ","Callahan, Kathleen","2","Open","13","15","","","","","",
"4003","PCSE 699","1","Thesis Research","1 - 9","","Ind","","","ARR ","Monaghan, Peter","7","Open","8","15","","","","","",
"4004","PHYS 152","1","College Physics II","3","  AINW","Lec","MTWR","0900-1130","FORBES 3012","Gore, David","11","Open","4","15","","","","","",
"4005","PHYS 152L","1","College Physics II Laboratory","1","  AINW","Lab","MTWR","1230-1515","LUTR 306","Gore, David","10","Open","5","15","","","","","",
"4024","POLS 491","1","Political Science Internship","3","","Int","","","ARR ","Kirkpatrick, Andrew","1","Open","2","3","","","","","",
"4007","TCHG 517","2","Curriculum and Instruction II","1","","Lec","TR","1600-1750","MCM 160","Connell, Cynthia","1","Open","11","12","","","","","",
"4008","TCHG 517","3","Curriculum and Instruction II","1","","Lec","TR","1330-1520","MCM 207","Ward, Karyn","0","Closed","9","9","","","","","",
"4015","TCHG 517","4","Curriculum and Instruction II","1","","Lec","TR","1730-1920","MCM 257","Smith, Danielle","4","Open","8","12","","","","","",
"4009","TCHG 543","1","Classroom Mgmt and Discipline","2","","Lec","TWR","1030-1245","MCM 210","Powell, Linda","2","Open","9","11","","","","","Yes",
"4010","TCHG 543","2","Classroom Mgmt and Discipline","2","","Lec","MTW","1200-1415","MCM 200B","Filetti, Jean","-3","Closed","14","11","","","","","Yes",
"4011","TCHG 543","3","Classroom Mgmt and Discipline","2","","Lec","TWR","1100-1315","MCM 162","Cabello, Nathan","7","Open","5","12","","","","","Yes",
