CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"3046","ACCT 202","ON1","Principles of Accounting II","3","","Lec","","","ASY ","Scott, Mary","0","Closed","21","21","","","","","",
"3059","ACCT 202","ON2","Principles of Accounting II","3","","Lec","","","ASY ","Scott, Mary","-4","Closed","19","15","","","","","",
"3001","ANTH 203","ON1","Cultural Anthropology","3","  AIGM","Lec","","","ASY ","Palmer, Seth","0","Closed","12","12","","","","","",
"3005","BIOL 107","ON1","General Biology I","3","  AINW","Lec","","","ASY ","Haymond, Shauna","-2","Closed","31","29","","","","","",
"3004","BIOL 115","ON1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","","","ASY ","Harwell, Heather","2","Open","27","29","","","","","",
"3061","BIOL 213","ON1","Principles in Biology III","3","","Lec","","","ASY ","Knight, William","12","Open","12","24","","","","","",
"3002","BIOL 313","ON1","Genetics","3","","Lec","","","ASY ","Knight, William","10","Open","14","24","","","","","",
"3003","BIOL 491","ON1","WI: Senior Seminar","1","  WI","Lec","MTWRF","0800-0850","SYN ","Webb, Lisa","3","Open","4","7","","","","","",
"3045","BUSN 303","ON1","Fundamentals of Business","3","","Lec","","","ASY ","Schwartz, Shoshana","4","Open","17","21","","","","","",
"3047","BUSN 323","ON1","Corporate Finance","3","","Lec","","","ASY ","Donaldson, William","-6","Closed","27","21","","","","","",
"3006","CHEM 104","ON1","Introductory Chemistry II","3","  AINW","Lec","MTWRF","1330-1600","SYN ","Webb, Lisa","17","Open","7","24","","","","","",
"3007","CHEM 121","ON1","General Chemistry I","3","  AINW","Lec","","","ASY ","Higgs, Andrew","0","Closed","24","24","","","","","",
"3008","CHEM 121L","1","General Chemistry Lab I","1","  AINW","Lab","MTWRF","0800-1150","FORBES 3002","Shima, Sumie","8","Open","4","12","","","","","",
"3009","CHEM 221","ON1","Organic Chemistry I","3","","Lec","","","ASY ","Liskin, Dmitry","-8","Closed","32","24","","","","","",
"3010","CHEM 242","ON1","General Chemistry II","3","  AINW","Lec","","","ASY ","Higgs, Andrew","-6","Closed","30","24","","","","","",
